"","year","week","x","y","eggs"
"1283",2024,35,-89.5599746704102,20.968786239624,29
"1284",2024,38,-89.5599746704102,20.968786239624,29
"1285",2024,37,-89.5599746704102,20.968786239624,63
"1286",2024,36,-89.5599746704102,20.968786239624,58
"1287",2024,35,-89.5601272583008,20.968391418457,17
"1288",2024,38,-89.5601272583008,20.968391418457,18
"1289",2024,36,-89.5601272583008,20.968391418457,42
"1290",2024,37,-89.5601272583008,20.968391418457,24
"1291",2024,35,-89.5607070922852,20.9683055877686,20
"1292",2024,36,-89.5607070922852,20.9683055877686,3
"1293",2024,38,-89.5607070922852,20.9683055877686,29
"1294",2024,37,-89.5607070922852,20.9683055877686,16
"1295",2024,35,-89.5604248046875,20.9689464569092,15
"1296",2024,38,-89.5604248046875,20.9689464569092,15
"1297",2024,37,-89.5604248046875,20.9689464569092,29
"1298",2024,36,-89.5604248046875,20.9689464569092,82
"1299",2024,37,-89.5655899047852,20.9672927856445,0
"1300",2024,36,-89.5655899047852,20.9672927856445,0
"1301",2024,36,-89.5649871826172,20.9682540893555,0
"1302",2024,37,-89.5649871826172,20.9682540893555,0
"1303",2024,36,-89.5648193359375,20.9674263000488,0
"1304",2024,37,-89.5648193359375,20.9674263000488,0
"1305",2024,36,-89.5649108886719,20.9665374755859,0
"1306",2024,37,-89.5649108886719,20.9665374755859,0
"1307",2024,35,-89.5628814697266,20.9682331085205,8
"1308",2024,38,-89.5628814697266,20.9682331085205,53
"1309",2024,37,-89.5628814697266,20.9682331085205,11
"1310",2024,36,-89.5628814697266,20.9682331085205,15
"1311",2024,35,-89.5626068115234,20.968677520752,12
"1312",2024,38,-89.5626068115234,20.968677520752,42
"1313",2024,37,-89.5626068115234,20.968677520752,21
"1314",2024,36,-89.5626068115234,20.968677520752,4
"1315",2024,35,-89.562385559082,20.9679985046387,31
"1316",2024,38,-89.562385559082,20.9679985046387,19
"1317",2024,36,-89.562385559082,20.9679985046387,39
"1318",2024,37,-89.562385559082,20.9679985046387,12
"1319",2024,35,-89.5625228881836,20.9686603546143,27
"1320",2024,38,-89.5625228881836,20.9686603546143,24
"1321",2024,36,-89.5625228881836,20.9686603546143,21
"1322",2024,37,-89.5625228881836,20.9686603546143,19
"1339",2024,35,-89.5653305053711,20.9577980041504,29
"1340",2024,37,-89.5653305053711,20.9577980041504,35
"1341",2024,36,-89.5653305053711,20.9577980041504,10
"1342",2024,38,-89.5653305053711,20.9577980041504,24
"1343",2024,35,-89.5653686523438,20.958667755127,19
"1344",2024,38,-89.5653686523438,20.958667755127,88
"1345",2024,37,-89.5653686523438,20.958667755127,49
"1346",2024,36,-89.5653686523438,20.958667755127,9
"1347",2024,35,-89.5657119750977,20.95876121521,127
"1348",2024,38,-89.5657119750977,20.95876121521,51
"1349",2024,36,-89.5657119750977,20.95876121521,36
"1350",2024,37,-89.5657119750977,20.95876121521,41
"1351",2024,35,-89.5659408569336,20.957971572876,11
"1352",2024,38,-89.5659408569336,20.957971572876,31
"1353",2024,36,-89.5659408569336,20.957971572876,17
"1354",2024,37,-89.5659408569336,20.957971572876,10
"1371",2024,35,-89.5616302490234,20.9624290466309,12
"1372",2024,38,-89.5616302490234,20.9624290466309,28
